,P_10y,P_10y,P_10y,P_12m,P_12m,P_12m,P_3y,P_3y,P_3y,P_5y,P_5y,P_5y
,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR
Data,,,,,,,,,,,,
2022-02-18,0.00025466332729224156,-1.1902976369033386e-06,0.0002533966421158544,0.00018182013990435627,-3.968055562164795e-07,0.00018140515324322016,0.00021327177996046295,7.93730164021652e-07,0.00021410816874619637,0.00023213104735406032,3.9684523875680196e-07,0.00023255110685824594
2022-02-17,0.0002559303925311887,-3.9680555621692005e-07,0.00025550799521532777,0.0001822351680662335,-3.9680555621692005e-07,0.00018182013990435537,0.00021243555843575995,1.190654779763157e-06,0.00021368995344360993,0.00023171102985372396,-1.9840773817807255e-07,0.00023150103685368756
2022-02-16,0.00025635283208889274,-1.983631035042496e-06,0.0002542410566765698,0.00018265023773300371,1.9846230985549643e-06,0.00018472620878551017,0.0002111815396899694,-1.785312560261362e-06,0.00020930121681577205,0.00023192103335367345,1.9841765881293288e-07,0.00023213104735406121
2022-02-15,0.00025846566365293733,1.5876190899508048e-06,0.00026015668968836013,0.0001805753044065699,3.9684523875680196e-07,0.00018099020807867326,0.000213062708899872,9.921875103347847e-07,0.00021410816874619637,0.00023171102985372396,2.778750226891651e-06,0.00023465203458396367
2022-02-14,0.00025677531389266505,6.7517691237362065e-06,0.0002639639723006926,0.00018016044222275818,1.4311459456362383e-05,0.0001951216481129778,0.00021201751038584115,-2.9750746837277553e-06,0.00020888348218434458,0.00022877208310641736,1.786116131703113e-06,0.0002306611698421674
2022-02-11,0.00024959886582220394,7.93730164021652e-07,0.00025044252075169987,0.00016525299984136336,1.587619089951686e-06,0.00016690673335325397,0.00021515388999015532,-3.9680555621692005e-07,0.0002147355701206732,0.00022688384626845791,0.0,0.00022688384626845791
2022-02-10,0.00024875537960682126,0.0,0.00024875537960682126,0.00016359992769059646,-2.255470564113814e-05,0.00014011535510004083,0.00021557225169371597,1.0529818863730653e-05,0.0002266740946215671,0.00022688384626845791,-1.0699834437646222e-05,0.00021557225169371597
2022-02-09,0.00024875537960682126,-3.1733336718899953e-06,0.0002453831212117446,0.00018721874457769625,3.9684523875680196e-07,0.00018763431262703626,0.00020449978970268944,3.9684523875680196e-07,0.00020491708594294877,0.00023822602341644616,1.3891319728037257e-06,0.0002396985490904916
2022-02-08,0.00025213033688802484,7.93730164021652e-07,0.00025297449816236693,0.00018680321808308415,0.0,0.00018680321808308415,0.0002040825351899669,0.0,0.0002040825351899669,0.00023675401303620478,0.0,0.00023675401303620478
2022-02-07,0.0002512863444290554,0.0,0.0002512863444290554,0.00018680321808308415,-3.9680555621692005e-07,0.00018638773313904369,0.0002040825351899669,3.9684523875680196e-07,0.00020449978970268944,0.00023675401303620478,-5.951934546130588e-07,0.00023612330914298625
2022-02-04,0.0002512863444290554,2.381666809545123e-06,0.0002538188282858482,0.00018721874457769625,0.0,0.00018721874457769625,0.00020366532240060988,2.381666809545123e-06,0.0002061692250706864,0.00023738481154210345,3.5730361965370506e-06,0.00024117159023872596
